Linux 6.16.9-200.fc42.x86_64 (fedora) 	10/19/2025 	_x86_64_	(12 CPU)

01:32:05 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:32:06 PM  all   14.03    0.00    3.45    0.00    1.60    0.76    0.00    0.00    0.00   80.17
01:32:06 PM    0    6.25    0.00    2.08    0.00    0.00    2.08    0.00    0.00    0.00   89.58
01:32:06 PM    1   24.24    0.00    4.04    0.00    2.02    0.00    0.00    0.00    0.00   69.70
01:32:06 PM    2   18.37    0.00    4.08    0.00    2.04    1.02    0.00    0.00    0.00   74.49
01:32:06 PM    3    8.00    0.00    1.00    0.00    0.00    1.00    0.00    0.00    0.00   90.00
01:32:06 PM    4   15.15    0.00    4.04    0.00    1.01    0.00    0.00    0.00    0.00   79.80
01:32:06 PM    5   20.20    0.00    2.02    0.00    1.01    1.01    0.00    0.00    0.00   75.76
01:32:06 PM    6   14.29    0.00    3.06    0.00    1.02    1.02    0.00    0.00    0.00   80.61
01:32:06 PM    7   19.00    0.00    1.00    0.00    1.00    0.00    0.00    0.00    0.00   79.00
01:32:06 PM    8   14.71    0.00    6.86    0.00    0.98    0.00    0.00    0.00    0.00   77.45
01:32:06 PM    9   10.00    0.00    5.00    0.00    1.00    1.00    0.00    0.00    0.00   83.00
01:32:06 PM   10    7.14    0.00    4.08    0.00    6.12    1.02    0.00    0.00    0.00   81.63
01:32:06 PM   11   10.89    0.00    3.96    0.00    2.97    0.99    0.00    0.00    0.00   81.19

01:32:06 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:32:07 PM  all   13.58    0.00    3.23    0.00    1.44    0.68    0.00    0.00    0.00   81.07
01:32:07 PM    0    9.09    0.00    2.02    0.00    1.01    2.02    0.00    0.00    0.00   85.86
01:32:07 PM    1   17.53    0.00    2.06    0.00    1.03    1.03    0.00    0.00    0.00   78.35
01:32:07 PM    2   18.18    0.00    3.03    0.00    2.02    2.02    0.00    0.00    0.00   74.75
01:32:07 PM    3   14.43    0.00    2.06    0.00    0.00    0.00    0.00    0.00    0.00   83.51
01:32:07 PM    4   13.54    0.00    3.12    0.00    0.00    0.00    0.00    0.00    0.00   83.33
01:32:07 PM    5   21.78    0.00    3.96    0.00    0.99    0.99    0.00    0.00    0.00   72.28
01:32:07 PM    6   20.41    0.00    3.06    0.00    1.02    0.00    0.00    0.00    0.00   75.51
01:32:07 PM    7   17.17    0.00    4.04    0.00    0.00    1.01    0.00    0.00    0.00   77.78
01:32:07 PM    8   11.34    0.00    5.15    0.00    1.03    0.00    0.00    0.00    0.00   82.47
01:32:07 PM    9    7.14    0.00    4.08    0.00    1.02    0.00    0.00    0.00    0.00   87.76
01:32:07 PM   10    5.05    0.00    4.04    0.00    7.07    1.01    0.00    0.00    0.00   82.83
01:32:07 PM   11    7.14    0.00    2.04    0.00    2.04    0.00    0.00    0.00    0.00   88.78

01:32:07 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:32:08 PM  all   21.00    0.00    4.02    0.00    1.00    0.67    0.00    0.00    0.00   73.31
01:32:08 PM    0   20.00    0.00    6.00    0.00    1.00    1.00    0.00    0.00    0.00   72.00
01:32:08 PM    1   23.23    0.00    2.02    0.00    2.02    1.01    0.00    0.00    0.00   71.72
01:32:08 PM    2   15.15    0.00    3.03    0.00    2.02    1.01    0.00    0.00    0.00   78.79
01:32:08 PM    3   30.69    0.00    2.97    0.00    0.99    0.00    0.00    0.00    0.00   65.35
01:32:08 PM    4   22.00    0.00    3.00    0.00    1.00    1.00    0.00    0.00    0.00   73.00
01:32:08 PM    5   28.00    0.00    8.00    0.00    1.00    1.00    0.00    0.00    0.00   62.00
01:32:08 PM    6   20.00    0.00    4.00    0.00    1.00    0.00    0.00    0.00    0.00   75.00
01:32:08 PM    7   14.71    0.00    1.96    0.00    0.98    0.98    0.00    0.00    0.00   81.37
01:32:08 PM    8   19.00    0.00    6.00    0.00    1.00    1.00    0.00    0.00    0.00   73.00
01:32:08 PM    9   20.41    0.00    4.08    0.00    0.00    0.00    0.00    0.00    0.00   75.51
