Linux 6.16.9-200.fc42.x86_64 (fedora) 	10/19/2025 	_x86_64_	(12 CPU)

01:02:46 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:02:47 PM  all   12.36    0.00    2.37    0.00    1.35    0.42    0.00    0.00    0.00   83.49
01:02:47 PM    0    9.09    0.00    2.02    0.00    1.01    2.02    0.00    0.00    0.00   85.86
01:02:47 PM    1   14.43    0.00    1.03    0.00    1.03    1.03    0.00    0.00    0.00   82.47
01:02:47 PM    2    8.25    0.00    2.06    0.00    1.03    1.03    0.00    0.00    0.00   87.63
01:02:47 PM    3   24.49    0.00    1.02    0.00    1.02    0.00    0.00    0.00    0.00   73.47
01:02:47 PM    4   20.20    0.00    4.04    0.00    1.01    1.01    0.00    0.00    0.00   73.74
01:02:47 PM    5    7.07    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   90.91
01:02:47 PM    6   26.26    0.00    3.03    0.00    1.01    0.00    0.00    0.00    0.00   69.70
01:02:47 PM    7    5.05    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   92.93
01:02:47 PM    8   10.31    0.00    2.06    0.00    1.03    0.00    0.00    0.00    0.00   86.60
01:02:47 PM    9    9.18    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   87.76
01:02:47 PM   10    6.06    0.00    3.03    0.00    6.06    0.00    0.00    0.00    0.00   84.85
01:02:47 PM   11    8.00    0.00    3.00    0.00    3.00    0.00    0.00    0.00    0.00   86.00

01:02:47 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:02:48 PM  all   23.51    0.00    2.85    0.00    1.00    0.59    0.00    0.00    0.00   72.05
01:02:48 PM    0   19.19    0.00    3.03    0.00    1.01    1.01    0.00    0.00    0.00   75.76
01:02:48 PM    1   32.00    0.00    6.00    0.00    2.00    0.00    0.00    0.00    0.00   60.00
01:02:48 PM    2   12.00    0.00    2.00    0.00    2.00    1.00    0.00    0.00    0.00   83.00
01:02:48 PM    3   42.00    0.00    3.00    0.00    1.00    1.00    0.00    0.00    0.00   53.00
01:02:48 PM    4   14.14    0.00    2.02    0.00    0.00    1.01    0.00    0.00    0.00   82.83
01:02:48 PM    5   41.18    0.00    1.96    0.00    0.98    0.98    0.00    0.00    0.00   54.90
01:02:48 PM    6   14.29    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   83.67
01:02:48 PM    7   40.20    0.00    0.98    0.00    0.98    0.98    0.00    0.00    0.00   56.86
01:02:48 PM    8   12.37    0.00    4.12    0.00    0.00    0.00    0.00    0.00    0.00   83.51
01:02:48 PM    9   14.14    0.00    3.03    0.00    1.01    1.01    0.00    0.00    0.00   80.81
01:02:48 PM   10   19.19    0.00    3.03    0.00    2.02    0.00    0.00    0.00    0.00   75.76
01:02:48 PM   11   20.00    0.00    3.00    0.00    1.00    0.00    0.00    0.00    0.00   76.00

01:02:48 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:02:49 PM  all   40.84    0.00    2.35    0.00    0.92    0.34    0.00    0.00    0.00   55.55
01:02:49 PM    0   46.46    0.00    1.01    0.00    0.00    1.01    0.00    0.00    0.00   51.52
01:02:49 PM    1   42.72    0.00    8.74    0.00    0.97    0.00    0.00    0.00    0.00   47.57
01:02:49 PM    2   28.57    0.00    1.02    0.00    0.00    1.02    0.00    0.00    0.00   69.39
01:02:49 PM    3   67.68    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   31.31
